MessageID,Sender,TimeSubmitted,MessageText,URL,Subdomain,SLD,TLD,RedirectedURL,Brand,DomainRegistrar,DomainCreationDate,DomainLastUpdateAtSubmission,DomainLastUpdate,DomainStatus,DomainActiveFor,Detected,Malicious,Malware,Phishing,Suspicious,ImageText
391,(737) 290-2359,21/12/2022 22:02,we may send up to $250 for gasoline if you complete this select survey. believe in you! a56cyklri.co/1hyv3 reply end to unsubscribe,a56cyklri.co/1hyv3,,a56cyklri,co,http://a56cyklri.co/1hyv3,,,,,,Inactive,,0,0,0,0,0,"1:01:59 @M A rege 84% O

€ (737) 290-2359 Q }

@_ Why is this spam?

Similar messages were identified as spam

Not spam

Wednesday, Apr 20 * 1:06 PM

Texting with (737) 290-2359 (SMS/MMS)

We may send up to $250 for
gasoline if you complete this
select survey. Believe in you!

a56cyklri.co/1hyv3 Reply END to
6 unsubscribe

Apr 20, 1:06 PM

@) [fy Text

Copied

eC

iS)

q eo) O
"
392,(314) 673-8590,21/12/2022 22:03,no need to work out - just 1 glass before night and your plump belly fades quickly! kh5niapbp4.co/fs4h reply stop to optout,kh5niapbp4.co/fs4h,,kh5niapbp4,co,http://kh5niapbp4.co/fs4h,,,,,,Inactive,,0,0,0,0,0,"1:02:35 @M A rege 84% O

€ (314) 673-8590 Q :

@_ Why is this spam?

Similar messages were identified as spam

Not spam

Sunday, Apr 17 + 9:19 AM

Texting with (314) 673-8590 (SMS/MMS)

No need to work out - just 1 glass
before night and your plump belly

fades quickly! khSniapbp4.co/fs4h
® Reply Stop to OPTOUT

Apr 17, 9:19 AM

@) [fy Text

Copied

© %

q eo) O
"
393,,22/12/2022 04:49,link to activate mobile: https://m-1a537fd1.duosecurity.com/iphone/o3fsuapko8ibfrnwfmh4,https://m-1a537fd1.duosecurity.com/iphone/O3FSuaPKO8ibfRnWfmh4,m-1a537fd1,duosecurity,com,,Duo Security,"MarkMonitor, Inc.",27/09/2010,25/08/2023,26/06/2024,Active,5055,0,0,0,0,0,"7:47 4 oul

a) @

386732

))
""

Text Message
May 27, 2021, 2:16 PM
CSUSM MFA: Use this link to install
Duo Mobile: http://m-
b22f1fa2.duosecurity.com

CSUSM MFA: Once the app is
installed open this activation link with
Duo Mobile: https://m-
b22f1fa2.duosecurity.com/activate/
tCToxRGSozNzVJwSST1C

Monday 2:50 PM

Link to activate Duo Mobile: https://

O3FSuaPKO8ibfRnWfmh4

Didn't request? Please tell your IT
admin.

a ©
o@ 02 @@G@

"
394,1410100018,22/12/2022 04:50,frm:helpcenter@csun.edu subj:your temporary csun password msg:your temporary csun password is: 23fqyau&aqa,,,,,,CSUN,,,,,,,,,,,,"))
""

7:49 7 ol

<@ @

1410100018

Text Message
Monday 2:49 PM

FRM:helpcenter@csun.edu
SUBJ:Your temporary CSUN

Password
MSG:Your temporary CSUN
Password is: 23fqyau&aqa

Cg ©
O@- °° @Ge@s

"
395,,22/12/2022 04:51,hi sam. your house has always stood out! would you be open to a direct deal for it? let's set up a call today? alex reply end to unsubscribe,,,,,,,,,,,,,,,,,,"))
""

7:50 9 PT) |

<@ @

+1 (760) 516-8466

Text Message
Monday 1:47 PM

Hi Sam. Your house has always stood
out! Would you be open to a direct
deal for it? Let's set up a call today?
Alex Reply END to unsubscribe

Cg ©)
O@°«@OG@e

"
396,,22/12/2022 04:52,"the savings are coming in hot!

treat yourself to 2 free months of care at the joint chiropractic!

yes, you heard us right! take control and get back to health this holiday season! the sales won't last forever, so visit thejoint.com/2free to claim yours before it's too late!",thejoint.com/2Free,,thejoint,com,https://www.thejoint.com/2Free,The Joint Chiropractic,"GoDaddy.com, LLC",12/11/1998,21/01/2015,21/01/2015,Active,9392,0,0,0,0,0,"a

7:51 4 PT) |

.@ @

56468

Text Message
Mon, Dec 5, 12:43 PM

We're thankful for YOU! To show our
gratitude, The Joint Chiropractic is

offering pain relief and prevention
made easy.

BUY 10 MONTHS, GET 2 MONTHS!

Let's get back to health this holiday
season! For more information, visit
thejoint.com/2Free or a location near
you.

Reply STOP to quit

Monday 1:44 PM

THE SAVINGS ARE COMING IN HOT!

Treat yourself to 2 FREE MONTHS of
care at The Joint Chiropractic!

Yes, you heard us right! Take control
and get back to health this holiday
season! The sales won't last forever,
so visit thejoint.com/2Free to claim
yours before it's too late!

Reply STOP to quit

@ Gs Cy

"
397,,22/12/2022 04:54,"your ticket# g097 is being served at window 06.

please take our customer experience survey!
https://qmtc.io/vzw4n17",nhttps://qmtc.io/vZw4N17,,qmtc,io,,,Gandi SAS,28/05/2021,,29/04/2024,Inactive,1068,0,0,0,0,0,"Your ticket# GO97 is being served at
Window 06.

Please take our Customer Experience
Survey!
"
398,,22/12/2022 04:55,"hey sukumar, i'm alex, i flip 🏡🏡🏡 and make them super nice 😍! would you be sellling 359 n m st in the near future? reply stop for opt-out.",,,,,,,,,,,,,,,,,,"))
ul

al 7 PT) |

«384 @

+1 (510) 227-8054

Siri Found a Contact
Alex Age

+1 (510) 227-8054

Text Message
Monday 9:42 AM

Hey Sukumar, i'm Alex, | flio & ff
and make them super nice @! Would
you be sellling 359 N M St in the near
future? Reply STOP for opt-out.

a ©
0O@"" 0 @@O@ se

"
399,netflix-membership-support-renewal-l1871-...,22/12/2022 04:55,"[notification ] update your payment details as soon as possible. we're having some trouble with your current billing information. click link below to update your billing information : https://gotommbr.myclickfunnels.com/ best regards, the netflix team",https://gotommbr.myclickfunnels.com/,gotommbr,myclickfunnels,com,,Netflix,"GoDaddy Corporate Domains, LLC",20/10/2016,,27/04/2023,Active,2840,0,0,0,0,0,"))
""

7:54 7 atl

.@ @

netflix-membership-support-renewal-ll871-...

Text Message
Monday 7:54 AM

[ Notification ] Update your payment
details as soon as possible.

We're having some trouble with your
current billing information. Click link
below to update your billing
information :

https://
gotommbr.myclickfunnels.com/

Best Regards,

The Netflix team

gC &
O@- °6@@e@s

"
400,,22/12/2022 04:57,"hi, it's heather @ crunch bringing the holiday cheer! join by thur for only $10 down + 1st mo free & no contract https://www.crunch.com/join text stop to opt-out",https://www.crunch.com/join,www,crunch,com,https://www.crunch.com/locations,Crunch,"Network Solutions, LLC",12/02/1999,29/12/2022,30/10/2023,Active,9300,0,0,0,0,0,"))
""

7:56 9 PT) |

© @

+1 (818) 865-7145

Text Message
Tue, Dec 13, 3:43 PM

Hi, It's Heather @ Crunch bringing
the holiday cheer! Join by Thur for
only $10 down + 1st mo free & no

Text STOP to opt-out

Cg ©)
O@°«@OG@e

"
401,+1 (947) 226-4811,22/12/2022 04:58,"your card charged for $349 for domesis matthewson recliner charcoal gray. order id amz1649751 on 12-13-2022. if you do not, please contact us +18772214408",,,,,,Amazon,,,,,,,,,,,,"7:56 9 PT) |

.@ @

+1 (947) 226-4811

))
""

Text Message
Tue, Dec 13, 12:20 PM
Your card charged for $349 for
Domesis Matthewson Recliner
Charcoal Gray. order id AMZ164975|
on 12-13-2022. If you DO NOT,Please
contact us +18772214408

Cg ©)
O@°«@OG@e

"
402,1410200517,22/12/2022 04:58,"frm:unit-vjkxu subj:cs_id: 106109122 msg: your shipment 55511 could not be delivered. to reschedule, continue below:https://lnkd.in/ezxkcedf",https://lnkd.in/eZXKcEdF,,lnkd,in,https://shipment-230c7a-track-ups.firebaseapp.com/,,"MarkMonitor, Inc.",15/10/2012,12/04/2023,13/09/2023,Active,4306,0,0,0,0,0,"))
""

7:57 7 PT) |

we @

1410200517

Text Message
Mon, Dec 12, 12:34 PM

FRM:Unit-VJKXU

SUBJ:CS_ID: 106109122

MSG:Your shipment 55511 could not
be delivered. To reschedule, continue

ag &
O@- °° @Ge@s

"
403,12002,22/12/2022 05:00,frm:cathy goad msg:yolanda vitela 12002 allegheny st https://kstu.hair/rbz4a68x,https://kstu.hair/rbZ4A68x,,kstu,hair,,,,,,,Inactive,,1,1,0,0,0,"))
""

7:59 4 PT) |
o ®@
1410200516

Text Message
Thu, Dec 8, 1:34 PM

FRM:Cathy Goad
MSG:Yolanda Vitela 12002 Allegheny

ag &
O@- °° @Ge@s

"
404,+1 (253) 334-2033,22/12/2022 05:02,"work part-job from home at your leisure this won't disturb you from your current job, age 18yrs above employee must of a computer and printer..if interested send sms to james +1 (509) 785-6416 for details",,,,,,,,,,,,,,,,,,"8:0194 atl

@ @

+1 (253) 334-2033

))
""

Text Message
Sat, Nov 26, 4:58 AM

Work Part-Job From Home at your
leisure This Won't disturb you from
your current job , Age 18yrs above
employee must of a computer and
printer..If interested send sms to
James +1 (509) 785-6416 for details

Cg ©)
O@°«@OG@e

"
405,,22/12/2022 05:02,"best buy:reply y to get automated promotional texts for special offers, sales & more at this #, not a condition of purchase.terms apply:http://b.3c.com/qbqyx8k",http://b.3c.com/qbQyx8K,b,3c,com,,Best Buy,"MarkMonitor, Inc.",21/07/1995,03/03/2023,03/03/2023,Inactive,10088,0,0,0,0,0,"))
""

8:01 V PT) |

us @

22891

Text Message
Tue, Nov 15, 11:23 AM

Best Buy:Reply Y to get automated
promotional texts for special offers,
sales & more at this #, not a condition
of purchase.Terms apply:http://
b.3c.com/qbQyx8K

Cg ©)
O@°«@OG@e

"
406,+1 (754) 284-8551,22/12/2022 05:04,"timesensitivenotice: exposed to unsafewater? if you or someone you love were stationed, worked, or lived for at least 30 days at marine corps base campiejeune prior to 1988, you may be entitled to significantcompensation. get your nocost-consultation by calling: 1-833-597-2291",,,,,,Marine Corps,,,,,,,,,,,,"8:03 7 atl

@ @

+1 (754) 284-8551

))
""

Text Message
Sun, Nov 6, 2:36 PM

TIMESENSITIVENOTICE: Exposed to
UnsafeWater? If you or someone you
love were stationed, worked, or lived
for at least 30 days at Marine Corps
Base CAMPIeJEUNE prior to 1988,
you may be entitled to
significantCOMPENSATION. Get your
noCOST-Consultation by calling:
1-833-597-2291

|

KZN
re ,

"
407,+1 (530) 592-0401,22/12/2022 05:05,"tap to download yvm.jpeg 59.7 kb brian dahle is running against newsom. change is possible in ca, but only if you vote! if you're sick of the high cost of living and rampant crime, vote newsom out and elect brian dahle governor. whether in person, by mail, or ballot drop off, encourage your friends & family to vote november 8th! reply ""stop"" to opt out.",,,,,,Newsom,,,,,,,,,,,,"))
""

8:03 7 atl

@ @

+1 (530) 592-0401

Text Message
Sat, Nov 5, 4:09 PM

Tap to Download
YVM.jpeg
59.7 KB

Brian Dahle is running against
Newsom. Change is possible in CA,
but only if you vote!

If you're sick of the high cost of living
and rampant crime, vote Newsom
OUT and ELECT Brian Dahle
Governor.

Whether in person, by mail, or ballot
drop off, encourage your friends &
family to vote November 8th!

Reply ""STOP"" to opt out.

"
408,+1 (480) 781-7701,22/12/2022 05:07,"place our add on your vehicle & paid seven hundred dollars wkly, for more details? hit https://bit.ly/3nhkqsn",https://www.powr.io/form-builder/i/33696978#page,www,powr,io,https://www.powr.io/form-builder/i/33696978,,"Cloudflare, Inc",27/11/2013,,29/09/2023,Active,3899,0,0,0,0,0,"))
""

8:06 7 al
338 ®e ec
2 People

Text Message
Wed, Oct 26, 1:53 PM

+1 (480) 781-7701

place our Add on your vehicle & paid
seven hundred dollars wkly,

@  sNbkasn

ag &
O@- °° @Ge@s

"
409,+1 (315) 643-0998,24/12/2022 00:40,<b of a># : your account has been locked due to fraud attempt made on 22 dec. to prevent account closure please visit https://s.id/1tudl to verify o� a,https://s.id/1tuDl,,s,id,https://home.s.id/404,Bank of America,PANDI Registrar,14/08/2013,28/09/2023,28/09/2023,Active,4004,2,0,2,0,0,"<@ Q

+1 (315) 643-0998 >

Text Message
Yesterday 12:56 PM

<B Of A>#: Your account has
been locked due to fraud
attempt made on 22 DEC. To
prevent account closure please

The sender is not in your contact list.

Report Junk

rO'] €) Text Message

io)
"
410,+1 (620) 581-9222,24/12/2022 00:44,"bofa alert: we 've placed a hold on your debit/atm card due to some unusual activity, to recover visit https://profib04.com and verify your identity",https://profib04.com,,profib04,com,https://profib04.com/,Bank of America,Porkbun LLC,30/09/2022,01/10/2023,01/10/2023,Inactive,367,0,0,0,0,0,"<@ Q

+1 (620) 581-9222 >

Text Message
Fri, Sep 30 at 9:55 AM

BofA Alert: We 've placed a hold
on your debit/atm card due to
some unusual activity, To recover
Visit https://profib04.com and

verify your identity

The sender is not in your contact list.
Report Junk

G © (cies)
"
411,,24/12/2022 00:46,chase aiert(sm):we noticed unusuai activities on your account.visit chaseiocked.com/web to verify the activities.reply stop to stop.msg & data rates may apply.,,,,,,,,,,,,,,,,,,"<@ Q

+1 (805) 803-3645 >

Text Message
Tue, Sep 27 at 10:32 AM

Chase Alert(SM):We noticed
unusual activities on your
account.Visit chaselocked.com/
web to verify the activities.Reply
STOP to stop.Msg & data rates
may apply.

The sender is not in your contact list.

Report Junk

GB © (wines 9)
"
412,+1 (845) 686-0068,09/01/2023 21:17,your package cannot be delivered due to incorrect house number. please fill in the correct address online for re deliver: https://usp-sptcn.top,https://usp-sptcn.top,,usp-sptcn,top,https://usp-sptcn.top/,,"NameSilo, LLC",05/01/2023,29/09/2023,29/09/2023,Inactive,268,10,4,0,6,0,"<e Q

+1 (845) 686-0068

Text Message
Today 5:51 AM

Your package cannot be
delivered due to incorrect
house number. Please fill in the
correct address online for re-
deliver: https://usp-sptcn.top

"
413,+1 (614) 732-2441,16/01/2023 16:29,"[u.s.p.s-postal]: you have a package with wrong address in our transit warehouse, please update your address. access. upsshipping.io/kegl6lxbyypqn8z",upsshipping.io/keGL6LxbyYpQN8z,,upsshipping,io,http://upsshipping.io/keGL6LxbyYpQN8z,USPS,CommuniGal Communication Ltd.,10/04/2024,10/02/2023,15/04/2024,Active,112,11,2,1,8,1,"<@ s

+1 (614) 732-2441 >

Text Message
Yesterday 6:45 AM

[U.S.P.S-Postal]: You have a
package with wrong address in
our transit warehouse, please
update your address. Access.
upsshipping.io/
keGL6LxbyYpQN8z

The sender is not in your contact list.

Report Junk

GB © Caine)
"
414,+1 (313) 858-1467,22/01/2023 06:50,"bofa alerts: possible transaction attempt jan 17,2023 of $1350.59,believe not made by you kindly contact us on 1877-928-5810 now",,,,,,Bank of America,,,,,,,,,,,,"+1 (313) 858-1467

Text Message
Tuesday 9:14 AM

BOFA Alerts:Possible
transaction attempt Jan
17,2023 of $1350.59, believe
not made by you kindly
contact us on 1877-928-5810
now
"
415,+1 (530) 301-2271,03/02/2023 00:21,this is officer collins with the icac internet crimes against children criminal investigation division i'm going to need you to contact me back here immediately sir!,,,,,,ICAC,,,,,,,,,,,,"To: +1 (680) 301-2271

message
‘Sep 5, 2021, 357M

this is officer Collins with the icac
internet crimes against children criminal
investigation division I'm going to need
you to contact me back here
immediately sir!

"
416,+1 (206) 793-8872,03/02/2023 00:21,usps: your delivery has not completed due to address validation issues. access uspstrack-ot.info for assistance with redelivery.,uspstrack-ot.info,,uspstrack-ot,info,https://uspstrack-ot.info/go/,USPS,"NameSilo, LLC",22/10/2022,11/11/2022,11/11/2022,Active,648,5,2,1,2,0,"To: +1 (206) 793-8872

Text Message
Sun, Oct 23 at 4:26 PM

USPS: Your delivery has not completed due to address validation issues. Access
uspstrack-ot.info for assistance with redelivery.
"
417,+1 (808) 769-7006,03/02/2023 00:21,"freemsg_wfargo: your billpay did not process as scheduled, we are here to help you solve it. follow ipsf/wfargo to review",,,,,,Wells Fargo,,,,,,,,,,,,"”)
a

3:19 7 a

<@ oe

+1 (808) 769-7006

Text Message
Thu, Jan 19, 1:07 AM

FreeMsg_WFargo:

Your billpay did not process as
scheduled, we are here to help you
solve it. Follow lpsf/wfargo to
review

a &
008-8 @6 »

"
418,+1 (516) 540-3289,27/03/2023 23:33,get paid! only takes 2 minutes http://boardingma.shopping/fexyqz,http://boardingma.shopping/fEXyQZ,,boardingma,shopping,,,,,,,Inactive,,1,1,0,0,0,"®

+1 (516) 540-3289 >

Text Message
Sun, Sep 18 at 6:25 AM

Get Paid! Only takes 2 minutes

@ http://boardingma.shopping/
fEXyQZ

The sender is not in your contact list.
Report Junk
"
419,+1 (725) 910-5091,28/03/2023 05:47,boa: your online profile has a probable association with a system vulnerability. log in and verify your details at https://sec03boa.com/brzqk to prevent identity theft. o,https://sec03boa.com/bRZQK,,sec03boa,com,,Bank of America,,,,,Inactive,,13,5,4,4,0,"8:46 of

:

+1 (725) 910-5091

*)
3

Text Message
Tue, Jul 26 at 2:51 PM

BOA: Your Online Profile has a
probable association with a
system vulnerability. Log in and
verify your details at https://
sec03boa.com/bRZQk to prevent
identity theft.

The sender is not in your contact list.

Report Junk

a ©

"
420,,28/03/2023 07:58,"subject: new device login a login attempt to your amazon shopping was made from an unknown browser. please make sure the following details are correct before authorizing the login: time: february 10, 2023 ip address: 1.22.542.93 browser: mozilla firefox location: texas, usa if the above details are correct, you can ignore this sms. if this not you click the following link to update your account. scnv.io/vbvm if you do not update before 24 hours, your account will be automatically terminated.",scnv.io/vbVM,,scnv,io,https://scnv.io/vbVM,Amazon,Gandi SAS,24/03/2014,,01/04/2024,Active,3782,3,1,0,2,0,"Subject: New Device Login

A login attempt to your Amazon Shopping
was made from an unknown browser.
Please make sure the following details
are correct before authorizing the login:

Time: February 10, 2023
IP Address: 1.22.542.93
Browser: Mozilla Firefox
Location: Texas, USA

If the above details are correct, you can ignore
this sms.

If this not you click the following link to
update your account.

scnv.io/vbVM

If you do not update before 24 hours, your
account will be automatically terminated.

6:40 AM
"
421,+1 (786) 882-7134,28/03/2023 21:58,order #113-87368244-001 confirmed! est. delivery 03/23. total: $2249.78. questions? call 8557672244. reply stop to opt-out. happy shopping!,,,,,,,,,,,,,,,,,,"12:54 atl

®

+1 (786) 882-7134 >

5)

Text Message
Tue, Mar 21 at 8:24 AM

Order #113-87368244-001
confirmed! Est. delivery 03/23. Total:
$2249.78. Questions? Call
8557672244. Reply STOP to opt-out.
Happy shopping!

The sender is not in your contact list.

Report Junk

rO'] €) Text Message UW)
O@-@8O2@->.

"
422,+60 11 6096 1062,28/03/2023 22:13,"delivery service: provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. after replying ""ok"", reconfirm your address http://usedps.com/go/tracking/q11u3 please update it timely.open link in browser",http://usedps.com/go/Tracking/Q11U3,,usedps,com,http://ww25.usedps.com/go/Tracking/Q11U3?subid1=20240730-1827-498d-a032-66f3c476fec5,USPS,"TUCOWS, INC.",24/04/2024,,24/04/2024,Active,98,7,2,2,3,0,"a 72 eal

— @ &

+60 11 6096 1062

*)
1

iMessage
Sun, Mar 12 at 6:23 AM

Delivery service: Provide the
correct delivery address to avoid
delay in receiving the goods due
to incomplete door number. After
replying ""OK"", reconfirm your
address
http://usedps.com/go/Tracking/
Q11U3

Please update it timely.Open link
in browser

The sender is not in your contact list.

Report Junk

gq €& g
0@-@25@
"
423,85820992 98,29/03/2023 00:04,esp~eng~wholesale~8582099298~a~default~genesis~nc_do_b~8589934592~8589934592~notifyonly~t3~~~0,,,,,,,,,,,,,,,,,,"“”)
8

2:59 .

. °

8900

Text Message
Sunday 3:40 AM

ESP~eng~WHOLESALE~85820992
98~A~Default~Genesis~NC_DO_B
~8589934592~8589934592~notif
yonly~T3~~~0

The sender is not in your contact list.
Report Junk

ro)

a &
O@®~- °° @ @ @E

"
424,+1 (808) 769-7006,29/03/2023 00:04,"freemsg_wfargo:
your biilpay did not process as scheduied, we are here to help you soive it. foilow lpsf/wfargo to review",,,,,,,,,,,,,,,,,,"”)
0

3:02 7

<@ oe

+1 (808) 769-7006

Text Message
Thu, Jan 19, 1:07 AM

FreeMsg_WFargo:

Your billpay did not process as
scheduled, we are here to help you
solve it. Follow lpsf/wfargo to
review

a &
O@-S@@ » ¢

"
425,joneslilnhrf@icloud.com,29/03/2023 00:04,all embedded in image. (joneslilnhrf@icloud.com),icloud.com,,icloud,com,https://www.icloud.com/,,NOM-IQ Ltd dba Com Laude,15/01/1999,07/09/2023,03/05/2024,Active,9329,0,0,0,0,0,"<no subject>

ETHER <joneslilnhrf@icloud.com>

To: yel21csv@protonmail.com

Welcome Back!

Dear user,
the account in our project was previously
registered to your email address.

You haven't visited AIRDROP for more than 300 days.
Your account has accumulated free ETH. Please get your
Ethereum.

MY ETHEREUM

Note: Your wallet must have assets worth a minimum of
but not limited to 0,9 ETH.
This requirement is in place in order to avoid bots, abuse
and multi accounts.

OK

A&P

Today at 11:12 AM

"
426,,29/03/2023 00:05,"https://amazon.com/a/c/r/ark7s3qd6lskpocoxhtvy7gdb

amazon: sign-in attempt from us. tap link to respond.",https://amazon.com/a/c/r/Ark7S3QD6lsKpoCOxHTvY7Gdb\n\nAmazon:,,amazon,com,https://www.amazon.com/a/c/r/Ark7S3QD6lsKpoCOxHTvY7Gdb/n/nAmazon:,Amazon,"MarkMonitor, Inc.",01/11/1994,16/05/2023,16/05/2023,Active,10865,1,0,0,1,1,"*)

3:04 r) 1727

:
25392

Text Message
Oct 29, 2021 at 9:38 PM

Ark7S3QD6IsKpoCOxHTvY7Gdb

Amazon: Sign-in attempt from
US. Tap link to respond.

ag ©
O@- © ®@e

"
427,,29/03/2023 00:06,"take 5k to 50k in less than 6 months

the apiary growth challenge event

 

click here to reserve one of the limited spots!

 

hey trader,",,,,,,,,,,,,,,,,,,"3:05 i

< Search

< Me

Re: Registration Required sv

Dave Moffit Mar 22 q 000
® to me v

Take 5k to 50k in less than 6 months

The Apiary Growth Challenge Event

Click here to reserve one of the limited spots!

Hey Trader,

Would you like to make more money in one hour of fun trading than working
all day at a job?

Then check this out... The Growth Challenge is the fastest way to turn a 5K
account into a 50K trading account. The best part is we give you the 5k to
start with and you never risk your own money in the markets.

How it works:

All you have to do is pass the audition stage and your live 5k trading account
is instantly unlocked.

"
428,(701) 638-2702,29/03/2023 00:06,"your shipping order is on hold due to an incomplete street address in the shipping information. check, please. ptycglvlogd.info/rdeu 1:26 pm",ptycglvlogd.info/Rdeu,,ptycglvlogd,info,http://ptycglvlogd.info/Rdeu,,"NameSilo, LLC",05/01/2023,10/02/2023,10/02/2023,Inactive,37,1,1,0,0,0,"3:03 %& SGUC will 52%

€ (701) 638-2702 Q 3

@_ Whyis this spam?

Similar messages were identified as spam

Not spam

Sunday, Jan 8 « 1:26 PM

Texting with (701) 638-2702 (SMS/MMS)

Your shipping order is on hold due to

an incomplete street address in the

shipping information. Check, please.
@ ptycglvlogd.info/Rdeu

1:26 PM

@) [ea Text message © F

"
429,32665,29/03/2023 00:06,tap to reset your instagram password: https://ig.me/1kxzmgxycjymran,https://ig.me/1KXzMGxYCJYmRAn,,ig,me,https://www.instagram.com/accounts/login/?next=https://www.instagram.com/&is_from_rle,Instagram,"RegistrarSafe, LLC",04/06/2004,26/07/2023,26/06/2024,Active,7362,0,0,0,0,0,"2:59 ”

e

32665

”)
8

Text Message
Mon, Jan 30 at 6:27 AM

Tap to reset your Instagram

1KXZMGxYCJYmRAn

The sender is not in your contact list.
Report Junk

a &
O@®~- °° @ @ @E

ro)

"
430,+1 (802) 302-4791,29/03/2023 00:08,"unionbank<attention> a payment of $200.00 has been made to chase_morgan credit. if you didn't authorize this, visit https://www.unionbank.org_@bit.ly/3t1lhle to cancel payment.",Https://www.UnionBank.Org_@bit.ly/3T1lhlE,,bit,ly,https://www.UnionBank.Org_@bit.ly/3T1lhlE,Chase Morgan,Libyan Spider Network (int),17/05/2008,,18/04/2022,Active,5919,2,1,0,1,0,"*)

3:07 e | 71)

:

+1 (802) 302-4791

Text Message
Thu, Oct 6 at 12:55 PM

UNIONBANKK<ATTENTION>

A payment of $200.00 has been
made to Chase_Morgan credit. If
you didn't authorize this, visit
Hitps://
www.UnionBank.Org_@bit.ly/
3T1IhIE to cancel payment.

The sender is not in your contact list.
Report Junk

a ©

"
431,,29/03/2023 00:08,"a research firm is conducting a voter survey in california. your input will make a difference:
https://yoc-research.com/
eglew6",nhttps://yoc-research.com/\nEgleW6,,yoc-research,com,,yoc-research,"GoDaddy.com, LLC",09/03/2016,,10/03/2022,Active,3066,0,0,0,0,0,"3:03 al > @)

<®

+1 (424) 337-6384 >

Text Message
Thu, Jan 19 at 4:50 PM

A research firm is conducting a
voter survey in California. Your
input will make a difference:

EgleW6

The sender is not in your contact list.

Report Junk

G © (aise
O@@®e GE

"
432,app.authscustomers-webapps-serviceappstand...,29/03/2023 00:08,"your amazon account has been locked. we recently received multiple failed login attempts to your account. recovery your account immediately click link bellow: http://s953782679.onlinehome.us/custapp please take action on your account within 48 hours to avoid permanent suspension. regards, amazon service",http://s953782679.onlinehome.us/custapp,s953782679,onlinehome,us,https://law.jaknet.my.id/protecting-yourself-from-amazon-scams-working-with-a-law-attorney/,Amazon,,,,,Inactive,,6,4,0,2,0,"3:04 al > @)

<@

app.authscustomers-webapps-serviceappstand...

Text Message
Fri, Mar 3 at 2:21 AM

Your Amazon Account has been
locked. We recently received
multiple failed login attempts to
your account.

Recovery your account
immediately click link bellow:
http://
$953782679.onlinehome.us/
custapp

Please take action on your
account within 48 hours to avoid
permanent suspension.

Regards,
Amazon Service

The sender is not in your contact list.

Report Junk

Ko

ag &
O@- 6 @O®

"
433,,29/03/2023 00:09,"[u.s.p.s-postal]: you have a package with wrong address in our transit warehouse, please update your address. access.  upsshipping.io/kegl6lxb21o9aom",upsshipping.io/keGL6Lxb21O9aom,,upsshipping,io,http://upsshipping.io/keGL6Lxb21O9aom,USPS,CommuniGal Communication Ltd.,10/04/2024,,15/04/2024,Active,112,7,1,2,4,0,
434,info@brands-12.com,29/03/2023 00:09,military discounts past or present military can get,,,,,,,,,,,,,,,,,,"Military Discounts You Didn't Know Existed Yahoo/Spam yx

Veteran Discounts <info@brands-12.com> FA Thu, Mar 23 atao3am yy
To: q3dqc1v@yahoo.com >

A This message contains blocked images. Show images

Military Discounts Past Or Present Military Can Get

a @ DD

"
435,+1 (805) 972-9215,29/03/2023 00:09,edd ca ui: your edd debit has been temporarily disabled. refer to http://myverifylink.cf reply stop to opt-out,http://myverifylink.cf,,myverifylink,cf,http://myverifylink.cf/,EDD,,,,,Inactive,,0,0,0,0,0,"3:08 .

°

+1 (805) 972-9215

”)
8

Text Message
Fri, Nov 4 at 10:35 PM

EDD CA UI: Your EDD debit has
been Temporarily DISABLED.
Refer to http://myverifylink.cf
Reply STOP to OPT-Out

The sender is not in your contact list.
Report Junk

ro)

a &
O@®~- °° @ @ @E

"
436,60005028,29/03/2023 00:10,vzw freemsg: important - your payment is now due. to make a payment click http://mobile.vzw.com/paybill or dial #pmt (#768) from your handset.,http://mobile.vzw.com/paybill,mobile,vzw,com,http://mobile.vzw.com/waprevamp/landingPage.html?DEEP_LINK=PAYMENT,Verizon,"CSC CORPORATE DOMAINS, INC.",09/05/2000,07/04/2023,19/01/2024,Active,8849,0,0,0,0,0,"3:05 # BNSC wll 42% 5

< 900060005028 Q :

© Blocked
Unblock to receive messages from this sender

Unblock

Monday, Dec 7, 2020 + 11:23 AM

VZW FreeMsg: Important - your

payment is now due. To make a

payment click http://mobile.vzw
S .com/paybill or dial #PMT (#768)

from your handset.
11:23 AM

(3) (a {Text message © &
"
437,(469) 354-5600,29/03/2023 00:11,"amazon: congratulations henry, you came 3rd in today's amazon pods raffle! click the link to : b2gxv.info/5ssc5f2seg",b2gxv.info/5ssC5f2SEG,,b2gxv,info,http://b2gxv.info/5ssC5f2SEG,Amazon,,,,,Inactive,,0,0,0,0,0,"3:05 A # © BNSC | 42%5

< (469) 354-5600 Q }

© Blocked

Unblock to receive messages from this sender

Unblock

Saturday, Apr 24, 2021 + 9:02 PM

Amazon: Congratulations Henry,

you came 3rd in today's Amazon

pods raffle! Click the link to :
() b2gxv.info/SssC5f2SEG

9:02 PM

(3) (a {Text message © &

"
